prev_log,curr_log,next_log,label
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,logger started (mode=all),0
[timesync] RTT too high for timesync: 862 ms (sender: 240),reset position to ev position,starting vision pos fusion,0
reset velocity to zero,stopping navigation,[timesync] RTT too high for timesync: 2167 ms (sender: 240),0
Connection to mission computer lost,vision data stopped,reset position to last known position,0
[timesync] RTT too high for timesync: 12109 ms (sender: 240),Onboard controller regained,[timesync] RTT too high for timesync: 12226 ms (sender: 240),0
[timesync] RTT too high for timesync: 11879 ms (sender: 240),[timesync] RTT too high for timesync: 12287 ms (sender: 240),[timesync] RTT too high for timesync: 11949 ms (sender: 240),0
starting vision pos fusion,starting vision yaw fusion,Start file log (type: full),0
Preflight: GPS fix too low,"gyro 2 (2424842) updating offsets [-0.131, 0.079, 0.014]->[-0.119, 0.075, 0.015] 37.2 degC",Preflight: GPS fix too low,0
IO FW CRC match,"Failed to init INA226 on bus 1, but will try again periodically.","Failed to init INA226 on bus 2, but will try again periodically.",0
GNSS Fix2 msg detected for ch 0; disabling Fix msg for this node,Preflight: GPS fix too low,"gyro 2 (2424842) updating offsets [-0.131, 0.079, 0.014]->[-0.119, 0.075, 0.015] 37.2 degC",0
Preflight: GPS fix too low,Autotune started,Preflight: GPS fix too low,0
Preflight: GPS fix too low,Autotune aborted before finishing,Preflight: GPS fix too low,0
Preflight: GPS Horizontal Pos Drift too high,Preflight: GPS Vertical Pos Drift too high,Connection to ground station lost,0
Opened full log file: /fs/microsd/log/2025-08-08/09_18_02.ulg,Disarmed by auto preflight disarming,"closed logfile, bytes written: 566384",0
[logger] /fs/microsd/log/2025-08-08/09_19_42.ulg,Opened full log file: /fs/microsd/log/2025-08-08/09_19_42.ulg,selected parameter default file /fs/mtd_params,0
Opened full log file: /fs/microsd/log/2025-08-08/09_19_42.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
Preflight: GPS Speed Accuracy too low,Preflight: GPS Speed Accuracy too low,Preflight: GPS Horizontal Pos Drift too high,0
Arming denied: switch to manual mode first,Arming denied: switch to manual mode first,Preflight Fail: height estimate not stable,0
[logger] /fs/microsd/log/2025-08-06/13_50_38.ulg,Opened full log file: /fs/microsd/log/2025-08-06/13_50_38.ulg,Takeoff detected,0
Kill-switch engaged,Landing detected,Disarmed by landing,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/13_53_33.ulg,Opened full log file: /fs/microsd/log/2025-08-06/13_53_33.ulg,0
Connection to mission computer lost,[timesync] Time jump detected. Resetting time synchroniser.,Onboard controller regained,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 547 -> 549",1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,0
ist8310: no instance started (no device on bus?),"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 921600B",RC scan: SBUS RC input locked,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 3346 bytes, decoded 3346 bytes (INT32:49, FLOAT:105)",0
logger started (mode=all),Successfully set system time,get: param 65535 invalid,0
l3gd20: no instance started (no device on bus?),hmc5883: no instance started (no device on bus?),ist8310: no instance started (no device on bus?),1
ms4525_airspeed: no instance started (no device on bus?),LED: open /dev/led0 failed (2),Mixer: /etc/mixers/AETRFG.main.mix on /dev/pwm_output0,0
[logger] /fs/microsd/log/2025-08-08/09_47_08.ulg,"Can't open log file /fs/microsd/log/2025-08-08/09_47_08.ulg, errno: 2",Start mavlink log,1
parameter export to /fs/microsd/params failed (-1) attempt 1,parameter export to /fs/microsd/params failed (-1) attempt 2,parameter export to /fs/microsd/params failed (-1) attempt 3,1
not init tilt,not init tilt,not init tilt,0
not init tilt,not init tilt,not init tilt,0
not init tilt,not init tilt,not init tilt,0
Setting channel 4 maximum to 1900,parameter export to /fs/microsd/params failed (-1) attempt 1,parameter export to /fs/microsd/params failed (-1) attempt 2,1
parameter export to /fs/microsd/params failed (-1) attempt 2,parameter export to /fs/microsd/params failed (-1) attempt 3,param export failed (-1),1
param export failed (-1),param auto save failed (-1),parameter export to /fs/microsd/params failed (-1) attempt 1,1
parameter export to /fs/microsd/params failed (-1) attempt 2,parameter export to /fs/microsd/params failed (-1) attempt 3,param export failed (-1),1
"no gyro selected, using sensor_gyro_fifo:0 2490386","mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 921600B","mode: Onboard, data rate: 2880 B/s on /dev/ttyS4 @ 57600B",0
u-blox firmware version: HPG 1.13,u-blox protocol version: 27.12,u-blox module: ZED-F9P,0
Preflight Fail: Yaw estimate error,Preflight: GPS Horizontal Pos Error too high,Preflight: GPS Horizontal Pos Error too high,0
Opened full log file: /fs/microsd/log/2025-08-08/09_10_42.ulg,Takeoff detected,Connection to ground station lost,0
Preflight Fail: height estimate not stable,Preflight Fail: height estimate not stable,Armed by RC,0
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,"vehicle_command_ack lost, generation 16186 -> 16188",1
SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,SET_MESSAGE_INTERVAL requested param3 not supported.,1
Opened full log file: /fs/microsd/log/2025-08-08/02_35_04.ulg,open '/fs/mtd_caldata' failed (2),open '/fs/mtd_caldata' failed (2),1
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight Fail: No connection to the ground control station,0
data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Armed by RC switch,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Armed by external command,0
ist8310: no instance started (no device on bus?),"Detected parameter update, reloading...",pmw3901: no instance started (no device on bus?),0
[logger] /fs/microsd/log/2025-08-05/16_04_12.ulg,CZI_SNCODE:0212C100F14524049AGC,u-blox firmware version: SPGL1L5 6.00,0
failed to get CAL_ACC2_ID,get: param 65535 invalid,failed to get CAL_GYRO2_ID,1
Opened full log file: /fs/microsd/log/2025-08-08/08_59_13.ulg,formatting /dev/mmcsd0,card formatted,0
formatting /dev/mmcsd0,card formatted,selected parameter backup file /fs/microsd/parameters_backup.bson,0
"mode: Normal, data rate: 5760 B/s on /dev/ttyS3 @ 115200B","mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B",RC scan: CRSF RC input locked,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
importing from '/fs/mtd_params',"BSON document size 2317 bytes, decoded 2317 bytes (INT32:49, FLOAT:62)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
"Node ID 1, bitrate 1000000",u-blox protocol version: 18.00,u-blox module: NEO-M8N-0,0
Disarmed by auto preflight disarming,"closed logfile, bytes written: 543943",Armed by RC,0
[logger] /fs/microsd/log/2025-08-08/08_40_02.ulg,Opened full log file: /fs/microsd/log/2025-08-08/08_40_02.ulg,open '/fs/mtd_caldata' failed (2),0
Armed by Stick gesture,Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/08_50_13.ulg,0
data manager file '/fs/microsd/dataman' size is 68528 bytes,RC input locked,"mode: Onboard, data rate: 80000 B/s on /dev/ttyS0 @ 921600B",0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 2315 bytes, decoded 2315 bytes (INT32:52, FLOAT:62)",0
data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
Opened full log file: /fs/microsd/log/2025-07-31/11_12_59.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
[logger] /fs/microsd/log/2025-07-27/07_59_14.ulg,Opened full log file: /fs/microsd/log/2025-07-27/07_59_14.ulg,selected parameter default file /fs/mtd_params,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,0
u-blox module: NEO-M9N,Preflight: GPS PDOP too high,Preflight Fail: No connection to the ground control station,0
Preflight: GPS Horizontal Pos Drift too high,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Armed by Stick gesture,Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/08_18_26.ulg,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Kill-switch disengaged,0
"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B","mode: Config, data rate: 10000 B/s on /dev/ttyS2 @ 115200B","mode: Config, data rate: 10000 B/s on /dev/ttyS6 @ 115200B",0
logger started (mode=all),UBX CFG-GNSS message ACK failed,Switching to Position is currently not available.,1
Opened full log file: /fs/microsd/log/2025-04-25/04_03_24.ulg,Preflight: GPS Vertical Pos Drift too high,Arming denied: Resolve system health failures first,0
Disarmed by landing,"1 (396833) EST:0 offset: [0.057, 0.113, -0.123]->[0.054, 0.104, -0.123] (full [-0.076, -0.240, -0","1 (396833) EST:1 offset: [0.054, 0.104, -0.123]->[0.052, 0.095, -0.123] (full [-0.083, -0.253, -0",0
[logger] /fs/microsd/log/2025-08-08/08_19_56.ulg,Opened full log file: /fs/microsd/log/2025-08-08/08_19_56.ulg,DECODED_SIZE:5 SAVED_SIZE:-1,0
mtd failure: -28 bus 2 address 0 class 2,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 3133 bytes, decoded 3133 bytes (INT32:58, FLOAT:93)",0
Preflight Fail: low battery,Armed by RC,Start file log (type: full),0
Opened full log file: /fs/microsd/log/2025-08-08/08_05_18.ulg,mtd_partition failed. offset=32 nblocks=0,mtd failure: -28 bus 2 address 0 class 2,1
Preflight Fail: No manual control input,Preflight Fail: low battery,Preflight Fail: No manual control input,1
IO FW CRC match,ms5611: no instance started (no device on bus?),Already running on bus 1,0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/07_25_18.ulg,0
Opened full log file: /fs/microsd/log/2025-08-08/05_30_57.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,ist8310: no instance started (no device on bus?),0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/07_52_16.ulg,0
"successfully created rt/fmu/out/position_setpoint_triplet data writer, topic id: 183","successfully created rt/fmu/out/sensor_combined data writer, topic id: 206","successfully created rt/fmu/out/timesync_status data writer, topic id: 229",0
[logger] /fs/microsd/log/2025-08-08/05_27_41.ulg,Opened full log file: /fs/microsd/log/2025-08-08/05_27_41.ulg,Takeoff detected,0
"mode: Normal, data rate: 1200 B/s on /dev/ttyS6 @ 57600B","mode: Onboard, data rate: 46080 B/s on /dev/ttyS4 @ 921600B",Starting CDC/ACM autostart,0
importing from '/fs/mtd_params',"BSON document size 4266 bytes, decoded 4266 bytes (INT32:98, FLOAT:109)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Preflight Fail: Kill switch engaged,Preflight Fail: heading estimate not stable,Preflight Fail: Kill switch engaged,0
Opened full log file: /fs/microsd/log/2025-08-06/16_47_33.ulg,DECODED_SIZE:5 SAVED_SIZE:-1,selected parameter default file /fs/mtd_params,0
Starting CDC/ACM autostart,no broadcasting address found,RC scan: SBUS RC input locked,0
Armed by RC switch,Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/07_52_05.ulg,0
"BSON document size 4266 bytes, decoded 4266 bytes (INT32:98, FLOAT:109)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
"successfully created rt/fmu/out/vehicle_status data writer, topic id: 266",Preflight Fail: position estimate error,Preflight Fail: Yaw estimate error,0
Preflight Fail: position estimate error,Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,0
FlightTaskAuto.cpp L616,FlightTaskAuto.cpp L623,FlightTaskAuto.cpp L358,0
Kill-switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Arming denied: switch to manual mode first,Arming denied: switch to manual mode first,Preflight Fail: Flight termination active,0
u-blox firmware version: SPG 5.10,u-blox protocol version: 34.10,u-blox firmware version: SPG 5.10,0
RC scan: SBUS RC input locked,logger started (mode=all),"Node ID 1, bitrate 1000000",0
"BSON document size 4266 bytes, decoded 4266 bytes (INT32:98, FLOAT:109)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,0
importing from '/fs/mtd_params',"BSON document size 4266 bytes, decoded 4266 bytes (INT32:98, FLOAT:109)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Preflight Fail: height estimate not stable,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
[logger] /fs/microsd/log/2025-08-06/16_58_36.ulg,Opened full log file: /fs/microsd/log/2025-08-06/16_58_36.ulg,Disarmed by RC (switch),0
Takeoff detected,"write failed errno:22 (Invalid argument), retrying",Landing detected,1
Preflight: GPS Horizontal Pos Drift too high,steam found and send,Preflight Fail: height estimate not stable,0
Preflight check,checks canarm,Armed by RC (switch),0
Opened full log file: /fs/microsd/log/2025-08-06/19_45_52.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",Preflight Fail: Kill switch engaged,0
open '/fs/microsd/backup_param/param.txt' failed (20),"Node ID 1, bitrate 1000000",IO FW CRC match,0
hmc5883: no instance started (no device on bus?),"Mission #2 loaded, 8 WPs, curr: 0","mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B",0
"mode: Config, data rate: 800000 B/s on /dev/ttyACM0 @ 57600B","mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 115200B","mode: Onboard, data rate: 5760 B/s on /dev/ttyS2 @ 115200B",0
Switching to Position is currently not available.,trigger init,send arm battery command,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 2846 bytes, decoded 2846 bytes (INT32:64, FLOAT:74)",0
Using minimum takeoff altitude: 0.50 m,Start file log (type: full),[logger] /fs/microsd/log/2021-02-18/23_57_33.ulg,0
[logger] /fs/microsd/log/2025-08-06/16_47_33.ulg,Opened full log file: /fs/microsd/log/2025-08-06/16_47_33.ulg,Takeoff detected,0
Kill disengaged,Armed by RC (switch),Start file log (type: full),0
importing from '/fs/mtd_params',"333BSON document size 3183 bytes, decoded 3183 bytes (INT32:64, FLOAT:90)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Parameter MAV_2_BROADCAST not found.,Parameter MAV_2_REMOTE_PRT not found.,Parameter MAV_2_UDP_PRT not found.,1
IO FW CRC match,WHO_AM_I 0x47,get: param 65535 invalid,0
setting PWM_AUX_OUT none,offboard mission init failed (-1),"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B",0
RC scan: SBUS RC input locked,logger started (mode=all),"Node ID 1, bitrate 1000000",0
logger started (mode=all),"Node ID 1, bitrate 1000000",Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),0
RTT too high for timesync: 45 ms,RTT too high for timesync: 43 ms,RTT too high for timesync: 54 ms,0
Preflight Fail: heading estimate not stable,Armed by RC switch,Start file log (type: full),0
Takeoff detected,Landing detected,Disarmed by RC switch,0
"closed logfile, bytes written: 5918717",RTT too high for timesync: 13 ms,RTT too high for timesync: 15 ms,0
RTT too high for timesync: 14 ms,RTT too high for timesync: 10 ms,RTT too high for timesync: 17 ms,0
"0 (527633) EST:0 offset: [0.018, -0.161, 0.279]->[0.435, -0.119, 0.281] (full [1.553, 1.299, 0.45","0 (527633) EST:1 offset: [0.435, -0.119, 0.281]->[0.657, -0.077, 0.282] (full [1.558, 1.302, 0.44",ACC 0 (6946834) offset committed: [-0.008 -0.028 0.113]->[-0.034 0.103 0.093]),0
Takeoff detected,Opened full log file: /fs/microsd/log/2025-08-08/07_10_09.ulg,selected parameter default file /fs/mtd_params,0
ACC 1 (3604506) offset committed: [-0.083 0.303 0.013]->[0.020 0.462 0.085]),"0 (527633) EST:0 offset: [0.018, -0.161, 0.279]->[0.435, -0.119, 0.281] (full [1.553, 1.299, 0.45","0 (527633) EST:1 offset: [0.435, -0.119, 0.281]->[0.657, -0.077, 0.282] (full [1.558, 1.302, 0.44",0
Preflight Fail: heading estimate not stable,Armed by RC switch,Start file log (type: full),0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/08_37_24.ulg,Opened full log file: /fs/microsd/log/2025-08-07/08_37_24.ulg,0
"Node ID 1, bitrate 1000000",Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",0
Preflight Fail: Flight termination active,exiting channel 2,Connection to ground station lost,0
Preflight Fail: Flight termination active,Preflight Fail: Yaw estimate error,Preflight Fail: Kill switch engaged,0
ms5611: no instance started (no device on bus?),ll40ls: no instance started (no device on bus?),"no gyro selected, using sensor_gyro_fifo:0 3407898",0
Armed by RC switch,Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/08_43_32.ulg,0
"init UDP agent IP:10.41.10.1, port:8888",Starting CDC/ACM autostart,logger started (mode=all),0
"Node ID 1, bitrate 1000000",Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/06_54_36.ulg,0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,ist8310: no instance started (no device on bus?),0
data manager file '/fs/microsd/dataman' size is 68528 bytes,ist8310: no instance started (no device on bus?),"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
Preflight Fail: heading estimate not stable,"closed logfile, bytes written: 225209",Armed by RC switch,0
[logger] /fs/microsd/log/2023-03-27/18_22_52.ulg,Opened full log file: /fs/microsd/log/2023-03-27/18_22_52.ulg,Takeoff detected,0
Preflight Fail: Attitude failure (pitch),Preflight Fail: heading estimate not stable,Armed by RC switch,0
Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",RC scan: SBUS RC input locked,0
checks canarm,checks canarm false,"receive set mode, main mode = 7, sub mode = 0",0
checks canarm false,"receive set mode, main mode = 4, sub mode = 3",Preflight check,0
Preflight Fail: height estimate not stable,Preflight check,Preflight check,0
[cal] calibration started: 2 accel,[cal] pending: back front left right up down,[cal] hold vehicle still on a pending side,0
"[cal] down side done, rotate to a different side",[cal] pending: back front left right up,[cal] hold vehicle still on a pending side,0
"[cal] detected rest position, hold still...",[cal] down side already completed,[cal] calibration cancelled,0
[cal] down side already completed,[cal] calibration cancelled,[cal] calibration failed: accel,0
Armed by external command,Start file log (type: full),[logger] /fs/microsd/log/2025-07-23/08_29_13.ulg,0
time jump detected. Resetting time synchroniser.,Kill engaged,Preflight Fail: Flight termination active,0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: Attitude failure (pitch),0
"airspeed scale set to 1.000000, offset to 6.894469","airspeed scale set to 1.000000, offset to 6.894469","airspeed scale set to 1.000000, offset to 6.894469",0
"starting instance 0, IMU:0 (3670026), MAG:0 (396809)","multi_mode: 1, replay_mode: 0","starting instance 1, IMU:1 (3932170), MAG:0 (396809)",0
"closed logfile, bytes written: 1537549",Armed by RC (switch),Start file log (type: full),0
[logger] /fs/microsd/log/2025-08-06/14_32_30.ulg,Opened full log file: /fs/microsd/log/2025-08-06/14_32_30.ulg,"closed logfile, bytes written: 5121091",0
Disarmed by landing,GYRO 2 (2424842) offset committed: [0.017 -0.029 -0.010]->[0.011 -0.025 -0.019]),GYRO 1 (2621474) offset committed: [0.009 -0.001 0.013]->[0.016 -0.003 0.003]),0
GYRO 1 (2621474) offset committed: [0.009 -0.001 0.013]->[0.016 -0.003 0.003]),GYRO 0 (3670050) offset committed: [-0.003 -0.006 0.006]->[-0.002 -0.006 -0.003]),Preflight Fail: heading estimate not stable,0
"closed logfile, bytes written: 11437496",Preflight Fail: heading estimate not stable,Preflight Fail: Kill switch engaged,0
Kill-switch disengaged,Preflight: GPS Horizontal Pos Drift too high,Kill-switch engaged,0
Preflight: GPS Horizontal Pos Drift too high,Kill-switch engaged,Preflight Fail: Kill switch engaged,0
Landing detected,Disarmed by landing,"closed logfile, bytes written: 11384487",0
Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-07/12_48_52.ulg,0
Arming denied: switch to manual mode first,Arming denied: switch to manual mode first,GCS connection regained,0
Arming denied: switch to manual mode first,Armed by RC (switch),Start file log (type: full),0
Armed by external command,Using minimum takeoff altitude: 0.50 m,Start file log (type: full),0
Using minimum takeoff altitude: 0.50 m,Start file log (type: full),[logger] /fs/microsd/log/2021-02-19/00_03_12.ulg,0
Preflight Fail: Attitude failure (roll),Preflight Fail: heading estimate not stable,Preflight Fail: heading estimate not stable,0
Opened full log file: /fs/microsd/log/2023-03-27/18_22_52.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,0
Using minimum takeoff altitude: 0.50 m,Using minimum takeoff altitude: 0.50 m,Connection to ground station lost,0
Using minimum takeoff altitude: 0.50 m,Start file log (type: full),[logger] /fs/microsd/log/2021-02-18/23_58_01.ulg,0
Preflight: GPS Horizontal Pos Error too high,Preflight Fail: Yaw estimate error,Starting mavlink shell,0
Preflight Fail: Press safety button first,Preflight Fail: Press safety button first,Preflight Fail: Press safety button first,0
"successfully created rt/drone5/fmu/out/vehicle_odometry data writer, topic id: 262","successfully created rt/drone5/fmu/out/vehicle_status data writer, topic id: 267","successfully created rt/drone5/fmu/out/monitoring data writer, topic id: 151",0
time sync converged,Preflight Fail: Press safety button first,stat failed read: No such file or directory,0
Preflight Fail: Flight termination active,Disarmed by kill-switch,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Kill engaged,Preflight Fail: Kill switch engaged,0
Kill engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Manual control lost,CAUTION: Avionics Power low:   4.79 Volt,Armed by external command,0
RTL: return at 33 m (1 m above destination),RTL: land at destination,Landing detected,0
Disarmed by landing,mission update failed,mission check failed,1
Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/pass.aux.mix appended to /dev/pwm_output0,setting PWM_AUX_OUT none,0
Started 0x45 successfully,ist8310: no instance started (no device on bus?),ms5611: no instance started (no device on bus?),0
u-blox module: ZED-F9P,couldn't start parameter count: -2,Failsafe mode deactivated,1
"BSON document size 3478 bytes, decoded 3478 bytes","Unknown restart, data manager file '/fs/microsd/dataman' size is 362560 bytes","Node ID 1, bitrate 1000000",0
Opened full log file: /fs/microsd/log/sess037/log001.ulg,target_component: 1,MAVLINK system compid: 1,0
target_component: 1,MAVLINK system compid: 1,COMMAND LONG: 512,0
MAVLINK system compid: 1,COMMAND LONG: 512,"target_system: 1, mavlink_system.sysid: 2",0
COMMAND LONG: 512,"target_system: 1, mavlink_system.sysid: 2",Preflight Fail: velocity estimate error,0
Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: velocity estimate error,Preflight Fail: Kill switch engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: velocity estimate error,Preflight Fail: Kill switch engaged,0
Preflight Fail: Flight termination active,Connection to mission computer lost,Kill disengaged,0
Opened full log file: /fs/microsd/log/sess112/log100.ulg,selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',0
"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550",Starting CDC/ACM autostart,no broadcasting address found,0
"Node ID 1, bitrate 1000000",u-blox protocol version: 27.50,u-blox module: ZED-F9P,0
u-blox module: ZED-F9P,Preflight Fail: Kill switch engaged,u-blox firmware version: HPG 1.50,0
u-blox protocol version: 32.01,u-blox module: NEO-M9N,Preflight: GPS Horizontal Pos Error too high,0
Opened full log file: /fs/microsd/log/2025-08-06/12_59_32.ulg,Takeoff detected,Landing detected,0
Opened full log file: /fs/microsd/log/2025-08-06/13_01_47.ulg,IO FW CRC match,ms5611: no instance started (no device on bus?),0
Disarmed by RC (switch),Preflight: GPS Horizontal Pos Drift too high,"closed logfile, bytes written: 289421",0
Starting CDC/ACM autostart,logger started (mode=all),"Node ID 1, bitrate 1000000",0
Kill-switch engaged,REJECT POSITION CONTROL,Kill-switch disengaged,0
[cal] progress <0>,[cal] progress <20>,[cal] progress <40>,0
2 - selected distance_sensor:1 (2 advertised),0 - selected distance_sensor:1 (2 advertised),1 - selected distance_sensor:1 (2 advertised),0
0 - selected distance_sensor:1 (2 advertised),1 - selected distance_sensor:1 (2 advertised),[cal] calibration started: 2 esc,0
Disarmed by RC (switch),Kill engaged,Preflight Fail: Kill switch engaged,0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Connection to ground station lost,0
timeout after 5000 ms!,timeout after 5000 ms!,Operation timeout,1
Starting CDC/ACM autostart,logger started (mode=all),"Node ID 1, bitrate 1000000",0
Preflight: GPS Horizontal Pos Drift too high,Armed by RC (switch),Start file log (type: full),0
IO FW CRC match,Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 4325386",0
Preflight: GPS Horizontal Pos Drift too high,Armed by RC (switch),Start file log (type: full),0
Preflight: GPS Horizontal Pos Drift too high,"closed logfile, bytes written: 289421",Preflight Fail: Yaw estimate error,0
"closed logfile, bytes written: 402073",Armed by RC (switch),Start file log (type: full),0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/04_00_54.ulg,0
"no gyro selected, using sensor_gyro_fifo:0 4325386","mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",Starting CDC/ACM autostart,0
[logger] /fs/microsd/log/2025-08-08/04_01_43.ulg,Opened full log file: /fs/microsd/log/2025-08-08/04_01_43.ulg,open '/fs/mtd_caldata' failed (2),0
logger started (mode=all),"Node ID 1, bitrate 1000000",u-blox protocol version: 34.10,0
logger started (mode=all),"Node ID 1, bitrate 1000000",u-blox protocol version: 34.10,0
